item_link,item_link-href,item_name,item_image-src,item_total_price,item_recipe_price,item_stats,item_builds_from,item_builds_into,item_maps
"Glacial Shroud
					
						 1000 / 350","http://www.mobafire.com/league-of-legends/item/glacial-shroud-42","Glacial Shroud","http://www.mobafire.com/images/item/glacial-shroud.gif","1000","350","20 Armor, 250 Mana. UNIQUE Passive: +10% Cooldown Reduction.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sapphire-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/cloth-armor.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/zekes-harbinger.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/frozen-heart.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/iceborn-gauntlet.gif""}]","[]"
"Ranger's Trailblazer - Runeglaive
					
						 2250 / 200","http://www.mobafire.com/league-of-legends/item/rangers-trailblazer-runeglaive-268","Ranger's Trailblazer - Runeglaive","http://www.mobafire.com/images/item/rangers-trailblazer-runeglaive.gif","2250","200","50 Ability Power, 10% Cooldown Reduction, 200 Mana. UNIQUE Passive: Blasting Smite: Smite deals half damage to all monsters and enemy minions near the target and stuns them for 1.5 seconds. Casting Smite on a monster restores 15% of missing Health and Mana.



UNIQUE Passive: Jungler: Deal 45 magic damage on hit to monsters over 2 seconds and gain 10 health and 5 mana per second while in combat with monsters. Additionally, you gain 30 gold for every large monster kill.



UNIQUE Passive: Spellblade: After using an ability, the next basic attack deals 100% Base Attack Damage (+30% of ability power) bonus damage on hit and restores 8% of your missing Mana. If the target is a monster, the damage is also dealt in an area around the target. The first monster hit takes double damage.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sheen.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Removed""}]"
"Youmuu's Ghostblade
					
						 3200 / 1000","http://www.mobafire.com/league-of-legends/item/youmuus-ghostblade-101","Youmuu's Ghostblade","http://www.mobafire.com/images/item/youmuus-ghostblade.gif","3200","1000","60 Attack Damage, 10% Cooldown Reduction. UNIQUE Passive: +20 Armor Penetration. UNIQUE Active: Gain +20% Movement Speed and +40% Attack Speed for 6 seconds. 45 second cooldown.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/caulfields-warhammer.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/serrated-dirk.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Boots of Mobility
					
						 900 / 500","http://www.mobafire.com/league-of-legends/item/boots-of-mobility-86","Boots of Mobility","http://www.mobafire.com/images/item/boots-of-mobility.gif","900","500","UNIQUE Passive: Enhanced Movement: +25 Movement Speed. Increases to +115 Movement Speed when out of combat for 5 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-speed.gif""}]","[]","[]"
"Brawler's Gloves
					
						 400 / 400","http://www.mobafire.com/league-of-legends/item/brawlers-gloves-20","Brawler's Gloves","","400","400","10% Critical Strike Chance.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/zeal.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/wicked-hatchet.gif""}]","[]"
"Tracker's Knife - Devourer
					
						 2450 / 400","http://www.mobafire.com/league-of-legends/item/trackers-knife-devourer-314","Tracker's Knife - Devourer","http://www.mobafire.com/images/item/trackers-knife-devourer.gif","2450","400","40% Attack Speed. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Devouring: Deals 30 magic damage on hit. Takedowns (kills or assists) will grant Devourer stacks, increasing the on-hit magic damage by 1.



Takedowns on:

- Large monsters and champions grant 1 stack.

- Rift Scuttlers and Rift Herald grant 2 stacks.

- Dragon, Baron and Vilemaw grant 5 stacks.



At 30 stacks, this enchantment turns into the Sated Devourer enchantment. At this point, takedowns no longer grow Devourer's damage, but every second (fourth for ranged champions) basic attack triggers on-hits twice.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Warding (Minor): Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 2 charges which refill upon visiting the shop.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/trackers-knife.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Hunter's Talisman
					
						 350 / 350","http://www.mobafire.com/league-of-legends/item/hunters-talisman-298","Hunter's Talisman","","350","350","Passive: 150% Mana Regeneration while in the jungle.



UNIQUE Passive: Tooth: Damaging a monster steals 25 Health over 5 seconds. Killing large monsters grants 15 bonus experience.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/skirmishers-sabre.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/stalkers-blade.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/trackers-knife.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Overlord's Bloodmail
					
						 2500 / 900","http://www.mobafire.com/league-of-legends/item/overlords-bloodmail-141","Overlord's Bloodmail","http://www.mobafire.com/images/item/overlords-bloodmail.gif","2500","900","800 Health. Passive: +100% Base Health Regeneration. UNIQUE Passive: On kill or assist, restores 300 Health over 5 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/giants-belt.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/crystalline-bracer.gif""}]","[]","[{""item_maps"":""Twisted Treeline""}]"
"Skirmisher's Sabre - Devourer
					
						 2450 / 400","http://www.mobafire.com/league-of-legends/item/skirmishers-sabre-devourer-270","Skirmisher's Sabre - Devourer","http://www.mobafire.com/images/item/skirmishers-sabre-devourer.gif","2450","400","40% Attack Speed. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Devouring: Deals 30 magic damage on hit. Takedowns (kills or assists) will grant Devourer stacks, increasing the on-hit magic damage by 1.



Takedowns on:

- Large monsters and champions grant 1 stack.

- Rift Scuttlers and Rift Herald grant 2 stacks.

- Dragon, Baron and Vilemaw grant 5 stacks.



At 30 stacks, this enchantment turns into the Sated Devourer enchantment. At this point, takedowns no longer grow Devourer's damage, but every second (fourth for ranged champions) basic attack triggers on-hits twice.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Challenging Smite: Smite can be cast on enemy champions, marking them for 4 seconds. While marked, you deal 60-162 (based on level) true damage over 3 seconds, have vision of them, and reduce their damage to you by 20%.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/skirmishers-sabre.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Eye of the Watchers
					
						 2200 / 550","http://www.mobafire.com/league-of-legends/item/eye-of-the-watchers-300","Eye of the Watchers","http://www.mobafire.com/images/item/eye-of-the-watchers.gif","2200","550","25 Ability Power, 10% Cooldown Reduction, 2 Gold Generation, 200 Health, 100% Base Mana Regeneration. UNIQUE Passive: Tribute: Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 gold. This can occur up to 3 times every 30 seconds.



UNIQUE Passive: Warding: Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 4 charges which refill upon visiting the shop.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/frostfang.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sightstone.gif""}]","[]","[]"
"Frost Queen's Claim
					
						 2200 / 550","http://www.mobafire.com/league-of-legends/item/frost-queens-claim-152","Frost Queen's Claim","http://www.mobafire.com/images/item/frost-queens-claim.gif","2200","550","50 Ability Power, 10% Cooldown Reduction, 2 Gold Generation, 75% Base Mana Regeneration. UNIQUE Passive: Tribute: Spells and basic attacks against champions or buildings deal 15 additional damage and grant 15 Gold. This can occur up to three times every 30 seconds. Killing minions does not disable the passive. UNIQUE Active: Icy ghosts: Summons 2 icy ghosts for 6 seconds that seek out nearby enemy champions. Ghosts reveal enemies on contact and reduce their Movement Speed by 40% for 2-5 seconds (based on distance travelled, 90 second cooldown).



Gold Income: You may only be in possession of 1 Gold Income item.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/frostfang.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""}]","[]","[]"
"Zeal
					
						 1300 / 600","http://www.mobafire.com/league-of-legends/item/zeal-66","Zeal","http://www.mobafire.com/images/item/zeal.gif","1300","600","15% Attack Speed, 20% Critical Strike Chance, 5% Movement Speed.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/dagger.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/brawlers-gloves.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/phantom-dancer.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/runaans-hurricane.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/statikk-shiv.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rapid-firecannon.gif""}]","[]"
"Moonflair Spellblade
					
						 2600 / 570","http://www.mobafire.com/league-of-legends/item/moonflair-spellblade-118","Moonflair Spellblade","http://www.mobafire.com/images/item/moonflair-spellblade.gif","2600","570","50 Ability Power, 50 Armor, 50 Magic Resistance. UNIQUE Passive: 35 Tenacity","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/negatron-cloak.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/seekers-armguard.gif""}]","[]","[{""item_maps"":""Twisted Treeline""}]"
"Zhonya's Ring
					
						 3460 / 1000","http://www.mobafire.com/league-of-legends/item/zhonyas-ring-67","Zhonya's Ring","","3460","1000","120 Ability Power. UNIQUE Passive: Increases ability power by 25%.  UNIQUE Active: Places your champion into Stasis for 2 seconds, rendering you invulnerable and untargetable but unable to take any actions. 90 sec cooldown.



(Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Cloak and Dagger
					
						 1450 / 200","http://www.mobafire.com/league-of-legends/item/cloak-and-dagger-117","Cloak and Dagger","","1450","200","20% Attack Speed, 20% Critical Strike Chance. UNIQUE Passive: 35 Tenacity (Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Crystalline Bracer
					
						 650 / 100","http://www.mobafire.com/league-of-legends/item/crystalline-bracer-251","Crystalline Bracer","http://www.mobafire.com/images/item/crystalline-bracer.gif","650","100","200 Health, 50% Base Health Regeneration.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/rejuvenation-bead.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/warmogs-armor.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/aegis-of-the-legion.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/overlords-bloodmail.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/righteous-glory.gif""}]","[]"
"Phage
					
						 1250 / 500","http://www.mobafire.com/league-of-legends/item/phage-51","Phage","http://www.mobafire.com/images/item/phage.gif","1250","500","15 Attack Damage, 200 Health. UNIQUE Passive: Rage: basic attacks grant 20 movement speed for 2 seconds on hit. Minion, monster, and champion kills grant 60 (half for ranged champions) movement speed for 2 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ruby-crystal.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/the-black-cleaver.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/trinity-force.gif""}]","[]"
"Long Sword
					
						 350 / 350","http://www.mobafire.com/league-of-legends/item/long-sword-15","Long Sword","","350","350","10 Attack Damage.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/vampiric-scepter.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/phage.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/tiamat.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/executioners-calling.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/bilgewater-cutlass.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/hexdrinker.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/wicked-hatchet.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/steraks-gage.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/giant-slayer.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/caulfields-warhammer.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/jaurims-fist.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/serrated-dirk.gif""}]","[]"
"Mejai's Soulstealer
					
						 1400 / 1050","http://www.mobafire.com/league-of-legends/item/mejais-soulstealer-50","Mejai's Soulstealer","http://www.mobafire.com/images/item/mejais-soulstealer.gif","1400","1050","20 Ability Power, 200 Mana. UNIQUE Passive: Do or Die: Grants 4 Glory per champion kill or 2 Glory per assist, up to 25 Glory total. Upon dying, you lose 10 stacks of Glory.



UNIQUE Passive: Dread: Grants 5 ability power per Glory. Grants 10% movement speed if you have at least 15 Glory.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/the-dark-seal.gif""}]","[]","[{""item_maps"":""Summoner's Rift""}]"
"Hextech Gunblade
					
						 3400 / 850","http://www.mobafire.com/league-of-legends/item/hextech-gunblade-104","Hextech Gunblade","http://www.mobafire.com/images/item/hextech-gunblade.gif","3400","850","80 Ability Power, 40 Attack Damage. UNIQUE Passive: Heals for 15% of all damage dealt (reduced to 5% for AoE damage).

UNIQUE Active: Lightning Bolt: Deals 250 (+30% of ability power) magic damage and slows the target champion instantly by 40% for 2 seconds (40 second cooldown, shared with other Hextech items).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/bilgewater-cutlass.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/hextech-revolver.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Boots of Swiftness - Captain
					
						 1350 / 450","http://www.mobafire.com/league-of-legends/item/boots-of-swiftness-captain-229","Boots of Swiftness - Captain","http://www.mobafire.com/images/item/boots-of-swiftness-captain.gif","1350","450","UNIQUE Passive: Enhanced Movement: +60 Movement Speed.



UNIQUE Passive: Slow Resist: Movement slowing effects are reduced by 25%.



UNIQUE Passive: Captain: Grants +10% Movement Speed to nearby approaching allied champions.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-swiftness.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Elixir of Fortitude
					
						 350 / 350","http://www.mobafire.com/league-of-legends/item/elixir-of-fortitude-29","Elixir of Fortitude","","350","350","Click: Grants 120-235 Health, based on champion level, and 15 Attack Damage for 3 minutes.","[]","[]","[{""item_maps"":""Removed""}]"
"Blasting Wand
					
						 850 / 850","http://www.mobafire.com/league-of-legends/item/blasting-wand-9","Blasting Wand","","850","850","40 Ability Power.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rod-of-ages.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lich-bane.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/guinsoos-rageblade.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/void-staff.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/rabadons-deathcap.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/liandrys-torment.gif""}]","[]"
"Mana Potion
					
						 35 / 35","http://www.mobafire.com/league-of-legends/item/mana-potion-28","Mana Potion","","35","35","Click: Restores 100 Mana over 15 seconds. Limited to 5 at one time.","[]","[]","[{""item_maps"":""Removed""}]"
"Elixir of Ruin
					
						 400 / 400","http://www.mobafire.com/league-of-legends/item/elixir-of-ruin-255","Elixir of Ruin","","400","400","Click: Grants +250 Health, +15% bonus damage to turrets, and the Siege Commander buff for 3 minutes. Siege Commander: Nearby minions gain +15% bonus damage to turrets and gain movement speed based on your movement speed.



You can only have one Elixir active at any point in time. This item cannot be purchased before level 9.","[]","[]","[{""item_maps"":""Removed""}]"
"Augment: Death
					
						 1000 / 1000","http://www.mobafire.com/league-of-legends/item/augment-death-132","Augment: Death","","1000","1000","45 Ability Power. Passive: +3 ability power per level.

Death Ray sets fire to enemies, dealing 30% additional magic damage over 4 seconds.","[]","[]","[{""item_maps"":""Removed""}]"
"Sage's Ring
					
						 975 / 975","http://www.mobafire.com/league-of-legends/item/sages-ring-7","Sage's Ring","","975","975","500 Mana. Passive: (Item is unavailable for purchase)","[]","[]","[{""item_maps"":""Removed""}]"
"Boots of Swiftness - Distortion
					
						 1350 / 450","http://www.mobafire.com/league-of-legends/item/boots-of-swiftness-distortion-231","Boots of Swiftness - Distortion","http://www.mobafire.com/images/item/boots-of-swiftness-distortion.gif","1350","450","UNIQUE Passive: Enhanced Movement: +60 Movement Speed.



UNIQUE Passive: Slow Resist: Movement slowing effects are reduced by 25%.



UNIQUE Passive: Distortion: Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15% and are granted additional mobility:



Ghost: Grants 40% Movement Speed from 27%.

Flash: 20% Movement Speed bonus for 1 second after cast.

Teleport: 30% Movement Speed bonus for 3 seconds after use.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-swiftness.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Tracker's Knife - Cinderhulk
					
						 2625 / 525","http://www.mobafire.com/league-of-legends/item/trackers-knife-cinderhulk-315","Tracker's Knife - Cinderhulk","http://www.mobafire.com/images/item/trackers-knife-cinderhulk.gif","2625","525","400 Health, 15 Health Multiplier. Passive: Grants 10% Lifesteal vs monsters.



Passive: 150% Mana Regeneration while in the jungle. UNIQUE Passive: Immolate: While in combat, deals 7 (+2 per champion level) magic damage a second to nearby enemies. This passive deals +100% damage against monsters.



UNIQUE Passive: Tooth / Nail: Basic attacks deal 20 bonus damage vs. monsters. Damaging a monster steals 30 Health over 5 seconds. Killing a large monster grants +30 bonus experience.



UNIQUE Passive: Warding (Minor): Consumes a charge to place a Stealth Ward that reveals the surrounding area for 150 seconds. Holds up to 2 charges which refill upon visiting the shop.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/bamis-cinder.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/trackers-knife.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""}]"
"Talisman of Ascension
					
						 2200 / 450","http://www.mobafire.com/league-of-legends/item/talisman-of-ascension-111","Talisman of Ascension","http://www.mobafire.com/images/item/talisman-of-ascension.gif","2200","450","45 Armor, 10% Cooldown Reduction, 150% Base Health Regeneration, 75% Base Mana Regeneration. UNIQUE Passive: Favor: Being near a minion death without dealing the killing blow grants 6 Gold and 10 Health.

Point Runner: Builds up to 20% movement speed over 2 seconds while near turrets, fallen turrets, or void gates UNIQUE Active: Grants nearby allies +40% Movement Speed for 3 seconds (60 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/nomads-medallion.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/raptor-cloak.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Berserker's Greaves - Captain
					
						 1550 / 450","http://www.mobafire.com/league-of-legends/item/berserkers-greaves-captain-199","Berserker's Greaves - Captain","http://www.mobafire.com/images/item/berserkers-greaves-captain.gif","1550","450","30% Attack Speed. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: Captain: Grants +10% Movement Speed to nearby approaching allied champions.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/berserkers-greaves.gif""}]","[]","[{""item_maps"":""Removed""}]"
"The Hex Core MK-2
					
						 2000 / 1000","http://www.mobafire.com/league-of-legends/item/the-hex-core-mk-2-248","The Hex Core MK-2","http://www.mobafire.com/images/item/the-hex-core-mk-2.gif","2000","1000","Passive: +6 Ability Power and +20 Mana per level. UNIQUE Passive: Viktor can upgrade one of his basic spells.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/the-hex-core-mk-1.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/perfect-hex-core.gif""}]","[]"
"The Brutalizer
					
						 1337 / 617","http://www.mobafire.com/league-of-legends/item/the-brutalizer-92","The Brutalizer","http://www.mobafire.com/images/item/the-brutalizer.gif","1337","617","25 Attack Damage. UNIQUE Passive: +10% Cooldown Reduction. UNIQUE Passive: +10 Armor Penetration.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/long-sword.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Rod of Ages
					
						 2700 / 750","http://www.mobafire.com/league-of-legends/item/rod-of-ages-44","Rod of Ages","http://www.mobafire.com/images/item/rod-of-ages.gif","2700","750","60 Ability Power, 300 Health, 300 Mana. Passive: Your Champion gains 20 Health, 10 Mana, and 4 Ability Power every 1 min. Bonuses cap at +200 Health, +100 Mana and +40 Ability Power. (Not included in stats)

UNIQUE Passive: Eternity: Your champion gains 15% of damage taken from champions as Mana and spending Mana restores 20% of the cost as Health, up to 25 per spell cast (toggle spells heal for up to 25 per second).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/blasting-wand.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/catalyst-of-aeons.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Zhonya's Hourglass
					
						 2900 / 800","http://www.mobafire.com/league-of-legends/item/zhonyas-hourglass-114","Zhonya's Hourglass","http://www.mobafire.com/images/item/zhonyas-hourglass.gif","2900","800","70 Ability Power, 45 Armor, 10% Cooldown Reduction. UNIQUE Active: Places your champion into Stasis for 2.5 seconds, rendering your champion invulnerable and untargetable but unable to take any actions. 120 second cooldown.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/fiendish-codex.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/seekers-armguard.gif""}]","[]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Howling Abyss""}]"
"Sorcerer's Shoes
					
						 1100 / 800","http://www.mobafire.com/league-of-legends/item/sorcerers-shoes-40","Sorcerer's Shoes","http://www.mobafire.com/images/item/sorcerers-shoes.gif","1100","800","15 Magic Penetration. UNIQUE Passive: Enhanced Movement: +45 Movement Speed.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/boots-of-speed.gif""}]","[]","[]"
"Sheen
					
						 1050 / 700","http://www.mobafire.com/league-of-legends/item/sheen-55","Sheen","http://www.mobafire.com/images/item/sheen.gif","1050","700","10% Cooldown Reduction, 250 Mana. UNIQUE Passive: Spellblade: After using an ability, your next basic attack deals bonus physical damage equal to your base Attack Damage (1.5 second cooldown).","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/sapphire-crystal.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/trinity-force.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/lich-bane.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/iceborn-gauntlet.gif""}]","[]"
"Enchantment: Distortion
					
						 450 / 450","http://www.mobafire.com/league-of-legends/item/enchantment-distortion-175","Enchantment: Distortion","","450","450","UNIQUE Passive: Distortion: Teleport, Flash, and Ghost summoner spell cooldowns are reduced by 15% and are granted additional mobility:



Ghost: Grants 40% Movement Speed from 27%.

Flash: 20% Movement Speed bonus for 1 second after cast.

Teleport: 30% Movement Speed bonus for 3 seconds after use.



Can be applied to any tier 2 boot.","[]","[]","[{""item_maps"":""Removed""}]"
"Ancient Coin
					
						 350 / 350","http://www.mobafire.com/league-of-legends/item/ancient-coin-185","Ancient Coin","","350","350","5% Cooldown Reduction, 25% Base Mana Regeneration. UNIQUE Passive: Favor: Being near a minion death without dealing the killing blow grants 4 Gold and 5 Health.","[]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/nomads-medallion.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Guinsoo's Rageblade
					
						 3600 / 875","http://www.mobafire.com/league-of-legends/item/guinsoos-rageblade-88","Guinsoo's Rageblade","http://www.mobafire.com/images/item/guinsoos-rageblade.gif","3600","875","50 Ability Power, 35 Attack Damage. Passive: On-hit deals an additional 15 magic damage. UNIQUE Passive: Basic attacks grant +8% Attack Speed, +3 Attack Damage, and +4 Ability Power for 5 seconds (stacks up to 6 times). While you have 6 stacks, gain Guinsoo's Rage.



UNIQUE Passive: Guinsoo's Rage: Every other basic attack triggers on-hit effects an additional time.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/blasting-wand.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/pickaxe.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/recurve-bow.gif""}]","[]","[]"
"Targon's Brace
					
						 850 / 350","http://www.mobafire.com/league-of-legends/item/targons-brace-71","Targon's Brace","http://www.mobafire.com/images/item/targons-brace.gif","850","350","2 Gold Generation, 175 Health, 50% Base Health Regeneration. UNIQUE Passive: Spoils of War: Melee basic attacks execute minions below 200 (+10 per level) Health. Killing a minion heals you and the nearest allied champion for 40 Health and grants them kill gold. Allies who benefit from Spoils of War also gain +1 to their minions killed score. These effects require a nearby allied champion. Recharges every 30 seconds. Max 3 charges.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/rejuvenation-bead.gif""},{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/relic-shield.gif""}]","[{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/face-of-the-mountain.gif""},{""item_builds_into"":"""",""item_builds_into-src"":""/images/item/eye-of-the-equinox.gif""}]","[{""item_maps"":""Summoner's Rift""},{""item_maps"":""Twisted Treeline""},{""item_maps"":""Howling Abyss""}]"
"Mana Manipulator
					
						 300 / 120","http://www.mobafire.com/league-of-legends/item/mana-manipulator-49","Mana Manipulator","http://www.mobafire.com/images/item/mana-manipulator.gif","300","120","UNIQUE Aura: Mana Warp: Nearby allied champions gain 5 Mana Regen per 5 seconds.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/faerie-charm.gif""}]","[]","[{""item_maps"":""Removed""}]"
"Ionian Boots of Lucidity - Alacrity
					
						 1350 / 450","http://www.mobafire.com/league-of-legends/item/ionian-boots-of-lucidity-alacrity-227","Ionian Boots of Lucidity - Alacrity","http://www.mobafire.com/images/item/ionian-boots-of-lucidity-alacrity.gif","1350","450","UNIQUE Passive: Enhanced Movement: +45 Movement Speed.



UNIQUE Passive: +10% Cooldown Reduction.



UNIQUE Passive: Trucidity: Reduces the cooldowns of Summoner Spells by 10%.



UNIQUE Passive: Alacrity: +20 Movement Speed.","[{""item_builds_from"":"""",""item_builds_from-src"":""/images/item/ionian-boots-of-lucidity.gif""}]","[]","[{""item_maps"":""Removed""}]"
